[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.79
[File, File, Image] FileName - File Name: InDesign.indd
[File, File, Image] Directory - Directory: t/images
[File, File, Image] FileSize - File Size: 12 kB
[File, File, Time] FileModifyDate - File Modification Date/Time: 2009:06:19 13:09:44-04:00
[File, File, Image] FileType - File Type: INDD
[File, File, Image] MIMEType - MIME Type: application/x-indesign
[XMP, XMP-x, Document] xmptk - XMP Toolkit: XMP toolkit 3.0-29, framework 1.6
[XMP, XMP-rdf, Document] about - About: d5d09d4b-2831-11dc-bfa2-d89eae7bab84
[XMP, XMP-xmp, Time] CreateDate - Create Date: 2007:06:30 00:19:02Z
[XMP, XMP-xmp, Image] CreatorTool - Creator Tool: Adobe InDesign 3.0
[XMP, XMP-xmp, Time] MetadataDate - Metadata Date: 2007:06:30 00:19:17Z
[XMP, XMP-xmp, Time] ModifyDate - Modify Date: 2007:06:30 00:19:17Z
[XMP, XMP-xmpMM, Other] DocumentID - Document ID: adobe:docid:indd:d5d09d4a-2831-11dc-bfa2-d89eae7bab84
[XMP, XMP-xmpMM, Other] RenditionClass - Rendition Class: default
[XMP, XMP-dc, Image] format - Format: application/x-indesign
