[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 5.53
[File, File, Image]  - File Name: Photoshop.psd
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 17KB
[File, File, Time]  - File Modification Date/Time: 2005:07:18 08:28:24
[File, File, Image]  - File Type: Photoshop
[File, File, Image]  - Mime Type: application/photoshop
[IPTC, IPTC, Other] 0 - Application Record Version: 2
[IPTC, IPTC, Other] 120 - Caption-Abstract: This is a teeny weeny white square
[IPTC, IPTC, Author] 122 - Writer-Editor: Me too
[IPTC, IPTC, Author] 80 - By-line: Phil Harvey
[IPTC, IPTC, Author] 85 - By-line Title: Supreme leader
[IPTC, IPTC, Other] 5 - Object Name: Test Picture
[IPTC, IPTC, Author] 116 - Copyright Notice: Free for all
[XMP, XMP-photoshop, Author] CaptionWriter - Caption Writer: Me too
[XMP, XMP-photoshop, Author] AuthorsPosition - Authors Position: Supreme leader
[XMP, XMP-xmpBJ, Unknown] JobRefName - Job Ref Name: This isn't a job
[XMP, XMP-xmpMM, Unknown] DocumentID - Document ID: adobe:docid:photoshop:c197d41a-f8f7-11d9-b03e-c023c3939af5
[XMP, XMP-xmpRights, Author] WebStatement - Web Statement: http://owl.phy.queensu.ca/~phil/exiftool/
[XMP, XMP-dc, Image] Description - Description: This is a teeny weeny white square
[XMP, XMP-dc, Author] Creator - Creator: Phil Harvey
[XMP, XMP-dc, Image] Title - Title: Test Picture
[XMP, XMP-dc, Author] Rights - Rights: Free for all
[Photoshop, Photoshop, Author] 1034 - Copyright Flag: False
[Photoshop, Photoshop, Author] 1035 - URL: http://owl.phy.queensu.ca/~phil/exiftool/
[Photoshop, Photoshop, Other] 1058 - TIFF Thumbnail: (Binary data 390 bytes)
